"","DBN","School.Name","Number.of.Test.Takers","total_enrollment","Mathematics.Mean","frl_percent","ell_percent","asian_per","black_per","white_per","hispanic_per","male_per","female_per"
"1","01M292","Henry Street School for International Studies ",31,448,425,73.3,21.7,12.5,28.1,2,56.9,59.6,40.4
"2","01M448","University Neighborhood High School ",60,488,419,76.3,11.1,22.5,26.2,3.7,47.5,56.4,43.6
"3","01M450","East Side Community High School ",69,599,431,82.2,7,8,25.4,9.7,56.6,53.3,46.7
"4","01M458","SATELLITE ACADEMY FORSYTH ST ",26,213,370,81.4,1.9,1.4,27.7,3.8,63.8,45.1,54.9
"5","01M515","Lower East Side Preparatory High School ",154,573,532,95.5,84.8,93.7,2.1,0.5,3.5,56.2,43.8
"6","01M539","New Explorations into Sci, Tech and Math HS ",47,1583,583,24.4,0.4,26,12.1,45.8,15.2,48.4,51.6
"7","01M650","CASCADES HIGH SCHOOL ",35,202,401,81.3,4,2.5,43.1,5,49,46,54
"8","01M696","BARD HIGH SCHOOL EARLY COLLEGE ",138,588,608,22.6,0.3,14.8,14.3,53.2,16.2,31.8,68.2
"9","02M047","AMERICAN SIGN LANG ENG DUAL ",11,157,415,78.3,9.6,2.5,32.5,8.9,56.1,41.4,58.6
"10","02M288","FOOD AND FNANCE HIGH SCHOOL ",50,423,412,74.7,3.1,1.9,46.3,3.8,47.5,42.6,57.4
"11","02M294","HIGH SCHOOL FOR HIST AND COMM ",51,328,364,75.6,5.5,5.2,29,7.3,58.2,54,46
"12","02M296","High School of Hospitality Management ",43,390,415,68.3,12.8,5.4,29.2,1.8,63.3,32.3,67.7
"13","02M298","PACE HIGH SCHOOL ",71,413,448,67,2.2,10.9,36.3,6.8,41.6,45,55
"14","02M300","Urban Assembly School of Design and Construction ",49,393,446,83.3,11.5,5.1,25.7,5.1,62.3,74.3,25.7
"15","02M303","The Facing History School ",59,412,373,83.8,19.9,1.2,25.7,2.4,70.4,49.8,50.2
"16","02M305","Urban Assembly Academy of Government and Law ",48,290,406,73.4,5.9,3.1,41.7,2.4,52.4,40.7,59.3
"17","02M308","LOWER MANHATTAN ARTS ACADEMY ",35,324,381,77,5.2,9.6,30.9,3.4,55.2,41.4,58.6
"18","02M313","The James Baldwin School ",45,253,419,55.7,5.5,3.2,34,7.1,54.2,54.9,45.1
"19","02M316","Urban Assembly School of Business for Young Women ",52,369,409,86.7,4.3,2.4,43.6,1.4,49.6,0,100
